 TIME                    	HPT_Power                	LPT_Power                	Cond_Heat                	Cond_TES_FGC_Heat        	FGC_Heat                 	TES_Heat                 	DeaPumps_Power           	CondPump_Power           	mdot_FUEL                	ToTES                    	
  +7.1270000000000000E+03	  +2.6180175302900396E+07	  +1.7042178677043751E+07	  +0.0000000000000000E+00	  +8.9330299182000011E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7574181515048477E+06	  +4.9844426315472607E+04	  +1.1652304321915969E+02	  +0.0000000000000000E+00	
  +7.1280000000000000E+03	  +2.2448054573979944E+07	  +1.4684877939755609E+07	  +0.0000000000000000E+00	  +7.9115397947999999E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7547293684686623E+06	  +4.5527501707011150E+04	  +1.1696291873989767E+02	  +0.0000000000000000E+00	
  +7.1290000000000000E+03	  +2.1877741643659018E+07	  +1.4400236903054943E+07	  +0.0000000000000000E+00	  +7.7233161311999992E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7542664542680529E+06	  +4.4871173988173461E+04	  +1.1703669675794642E+02	  +0.0000000000000000E+00	
  +7.1300000000000000E+03	  +2.1906190180727556E+07	  +1.4479895213982180E+07	  +0.0000000000000000E+00	  +7.7174040941999987E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7543334484963159E+06	  +4.4863736025084349E+04	  +1.1705376606458556E+02	  +0.0000000000000000E+00	
  +7.1310000000000000E+03	  +2.1915226198681146E+07	  +1.4508742461677436E+07	  +0.0000000000000000E+00	  +7.7128169868000001E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7542642058268015E+06	  +4.4825844170725381E+04	  +1.1704516616440283E+02	  +0.0000000000000000E+00	
  +7.1320000000000000E+03	  +2.2072307161343202E+07	  +1.4598826334999720E+07	  +0.0000000000000000E+00	  +7.7364698885999992E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7543121481762435E+06	  +4.5044803728713829E+04	  +1.1704594783527145E+02	  +0.0000000000000000E+00	
  +7.1330000000000000E+03	  +2.4626245300138172E+07	  +1.6149728488100039E+07	  +0.0000000000000000E+00	  +8.3247433757999986E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7566133527854853E+06	  +4.8042360707234329E+04	  +1.1670229632950208E+02	  +0.0000000000000000E+00	
  +7.1340000000000000E+03	  +2.8528417763027057E+07	  +1.8612534007253889E+07	  +0.0000000000000000E+00	  +9.3175621362000003E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7591661903059536E+06	  +5.2197900228311868E+04	  +1.1625616455088935E+02	  +0.0000000000000000E+00	
  +7.1350000000000000E+03	  +3.1288454597179696E+07	  +2.0490427656331673E+07	  +0.0000000000000000E+00	  +1.0103186757600001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7606576414608972E+06	  +5.4894177281199969E+04	  +1.1604758250198287E+02	  +0.0000000000000000E+00	
  +7.1360000000000000E+03	  +3.2503604411950056E+07	  +2.1377738725086231E+07	  +0.0000000000000000E+00	  +1.0464688843200001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7611312847123216E+06	  +5.5859513001311178E+04	  +1.1595674930802284E+02	  +0.0000000000000000E+00	
