Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);ZONE ONE LIGHTS:Lights Electric Energy [J](Hourly);ZONE ONE:Zone Air Temperature [C](Hourly);RADIATOR:Baseboard Total Heating Rate [W](Hourly);RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly);RADIATOR:Baseboard Water Inlet Temperature [C](Hourly);RADIATOR:Baseboard Water Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Rate [W](Hourly);DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly);DistrictHeating:Facility [J](Hourly) 
 01/07  16:00:00;0.741666667;540000;20.05957157;738.3628927;0.008791828;55;23.60378639;1149.026871;23.73015198;55;0.008791828;4136496.737
 01/07  17:00:00;0.758333333;540000;20.0608906;744.858971;0.00887442;55;23.61829069;1159.891228;23.72826045;55;0.00887442;4175608.42
 01/07  18:00:00;0.916666667;180000;20.06649427;826.2938538;0.009902554;55;23.78475093;1293.911906;23.73690731;55;0.009902554;4658082.863
 01/07  19:00:00;1.058333333;180000;20.06953181;870.090595;0.010466462;55;23.86966527;1366.734627;23.75616294;55;0.010466462;4920244.659
 01/07  20:00:00;1.158333333;180000;20.06404513;839.3820085;0.010096219;55;23.81161764;1317.270834;23.78308744;55;0.010096219;4742175.001
 01/07  21:00:00;1.258333333;180000;20.06362739;794.076348;0.00950668;55;23.72172984;1240.093085;23.78935567;55;0.00950668;4464335.105
 01/07  22:00:00;1.358333333;180000;20.06335615;789.8320747;0.009452568;55;23.71326081;1232.922451;23.79218376;55;0.009452568;4438520.823
 01/07  23:00:00;1.341666667;180000;20.06346867;789.5829852;0.009446872;55;23.71203495;1232.108991;23.79396305;55;0.009446872;4435592.369
 01/07  24:00:00;1.241666667;180000;20.0634151;792.4768832;0.009483896;55;23.71817999;1236.860145;23.79591777;55;0.009483896;4452696.523
 01/08  01:00:00;1.141666667;180000;20.06415015;796.5768303;0.00953516;55;23.72652727;1243.443685;23.79847408;55;0.00953516;4476397.268
 01/08  02:00:00;1.1;180000;20.06423789;799.209857;0.009569336;55;23.73214426;1247.776867;23.80155607;55;0.009569336;4491996.723
 01/08  03:00:00;1.041666667;180000;20.06404894;801.382026;0.009594968;55;23.73597191;1250.989544;23.80477771;55;0.009594968;4503562.357
 01/08  04:00:00;1;180000;20.06834727;865.0048081;0.010403805;55;23.85920977;1356.068088;23.81320097;55;0.010403805;4881845.116
 01/08  05:00:00;0.825;180000;20.06426934;846.5406796;0.010187356;55;23.82539235;1326.996676;23.83370424;55;0.010187356;4777188.034
 01/08  06:00:00;0.525;180000;20.06521323;812.8586916;0.009740217;55;23.75890733;1268.604313;23.83717062;55;0.009740217;4566975.528
 01/08  07:00:00;0.225;180000;20.06657537;827.9785853;0.009928186;55;23.78909418;1292.923366;23.84107902;55;0.009928186;4654524.116
 01/08  08:00:00;0.1;180000;20.06706108;837.5725637;0.010047803;55;23.80743003;1308.23562;23.84737696;55;0.010047803;4709648.233
 01/08  09:00:00;0.1;180000;20.06741214;840.0832691;0.010079131;55;23.81250357;1312.022851;23.85428489;55;0.010079131;4723282.265
 01/08  10:00:00;0.1;180000;20.06729156;833.4523631;0.009996539;55;23.8002625;1301.029316;23.86007194;55;0.009996539;4683705.538
 01/08  11:00:00;0.1;180000;20.06617675;819.5135847;0.00982281;55;23.7733104;1278.30607;23.86280727;55;0.00982281;4601901.852
 01/08  12:00:00;0.1;180000;20.06464077;806.0146936;0.009654777;55;23.74579396;1256.469815;23.86203806;55;0.009654777;4523291.332
 01/08  13:00:00;0.1;180000;20.06367151;802.1093028;0.009606361;55;23.73732047;1250.281112;23.85925556;55;0.009606361;4501012.001
 01/08  14:00:00;-0.25;180000;20.0654277;818.4545435;0.009811418;55;23.7698973;1277.024279;23.85792207;55;0.009811418;4597287.406
 01/08  15:00:00;-0.791666667;180000;20.06821861;849.6427081;0.010201596;55;23.83110467;1327.611582;23.86251058;55;0.010201596;4779401.694
 01/08  16:00:00;-1.35;180000;20.07047274;877.9457358;0.01055475;55;23.88535592;1373.079797;23.87358418;55;0.01055475;4943087.269
 01/08  17:00:00;-1.775;180000;20.07240072;898.8302355;0.010816768;55;23.92469076;1406.452822;23.88932038;55;0.010816768;5063230.161
 01/08  18:00:00;-2.075;180000;20.07379354;912.7635567;0.010990497;55;23.95083819;1428.215155;23.9072692;55;0.010990497;5141574.559
 01/08  19:00:00;-2.375;180000;20.07464998;924.9544322;0.01114429;55;23.97332022;1447.314065;23.92624722;55;0.01114429;5210330.634
 01/08  20:00:00;-2.733333333;180000;20.07569825;938.5310884;0.011315171;55;23.99816914;1468.570223;23.94598003;55;0.011315171;5286852.803
