 TIME                    	LPT3pin                  	LPT2pin                  	LPT1pin                  	LPT3mout                 	LPT2mout                 	LPT1mout                 	
  +1.2812500000000000E+02	  +4.6656975219296291E+00	  +6.2329671958563448E+00	  +1.0002712418609196E+01	  +8.4338394634683063E+04	  +9.5338404139075821E+04	  +9.7169943359589306E+04	
  +1.2825000000000000E+02	  +4.6656975639829161E+00	  +6.2329670554590821E+00	  +1.0002712330014081E+01	  +8.4338395401692222E+04	  +9.5338403626639119E+04	  +9.7169943341966689E+04	
  +1.2837500000000000E+02	  +4.6656975754899976E+00	  +6.2329672165483654E+00	  +1.0002712182813157E+01	  +8.4338395611569678E+04	  +9.5338408135688587E+04	  +9.7169939410242630E+04	
  +1.2850000000000000E+02	  +4.6656975503307896E+00	  +6.2329672295124814E+00	  +1.0002712199609931E+01	  +8.4338395152691330E+04	  +9.5338408287038474E+04	  +9.7169939548697352E+04	
  +1.2862500000000000E+02	  +4.6656979909980523E+00	  +6.2329670927354215E+00	  +1.0002712144603679E+01	  +8.4338403190013749E+04	  +9.5338404183845632E+04	  +9.7169940028662284E+04	
  +1.2875000000000000E+02	  +4.6656979922026895E+00	  +6.2329674215198363E+00	  +1.0002712324900729E+01	  +8.4338403211985118E+04	  +9.5338404146350425E+04	  +9.7169939638354408E+04	
  +1.2887500000000000E+02	  +4.6656976422102039E+00	  +6.2329674434702076E+00	  +1.0002712349328000E+01	  +8.4338396828478333E+04	  +9.5338404878617890E+04	  +9.7169939809061238E+04	
  +1.2900000000000000E+02	  +4.6656976070312739E+00	  +6.2329671484744722E+00	  +1.0002712128547502E+01	  +8.4338396186850470E+04	  +9.5338403730282429E+04	  +9.7169939222106186E+04	
  +1.2912500000000000E+02	  +4.6656976898105613E+00	  +6.2329671259802168E+00	  +1.0002712091599363E+01	  +8.4338397696660424E+04	  +9.5338403863838219E+04	  +9.7169938857942383E+04	
  +1.2925000000000000E+02	  +4.6656975219296291E+00	  +6.2329671958563448E+00	  +1.0002712418609196E+01	  +8.4338394634683063E+04	  +9.5338404139075821E+04	  +9.7169943359589306E+04	
  +1.2937500000000000E+02	  +4.6656975639829161E+00	  +6.2329670554590821E+00	  +1.0002712330014081E+01	  +8.4338395401692222E+04	  +9.5338403626639119E+04	  +9.7169943341966689E+04	
  +1.2950000000000000E+02	  +4.6656975754899976E+00	  +6.2329672165483654E+00	  +1.0002712182813157E+01	  +8.4338395611569678E+04	  +9.5338408135688587E+04	  +9.7169939410242630E+04	
  +1.2962500000000000E+02	  +4.6656975503307896E+00	  +6.2329672295124814E+00	  +1.0002712199609931E+01	  +8.4338395152691330E+04	  +9.5338408287038474E+04	  +9.7169939548697352E+04	
  +1.2975000000000000E+02	  +4.6656979909980523E+00	  +6.2329670927354215E+00	  +1.0002712144603679E+01	  +8.4338403190013749E+04	  +9.5338404183845632E+04	  +9.7169940028662284E+04	
  +1.2987500000000000E+02	  +4.6656979922026895E+00	  +6.2329674215198363E+00	  +1.0002712324900729E+01	  +8.4338403211985118E+04	  +9.5338404146350425E+04	  +9.7169939638354408E+04	
  +1.3000000000000000E+02	  +4.6656976422102039E+00	  +6.2329674434702076E+00	  +1.0002712349328000E+01	  +8.4338396828478333E+04	  +9.5338404878617890E+04	  +9.7169939809061238E+04	
  +1.3012500000000000E+02	  +4.6656976070312739E+00	  +6.2329671484744722E+00	  +1.0002712128547502E+01	  +8.4338396186850470E+04	  +9.5338403730282429E+04	  +9.7169939222106186E+04	
  +1.3025000000000000E+02	  +4.6656976898105613E+00	  +6.2329671259802168E+00	  +1.0002712091599363E+01	  +8.4338397696660424E+04	  +9.5338403863838219E+04	  +9.7169938857942383E+04	
  +1.3037500000000000E+02	  +4.6656975219296291E+00	  +6.2329671958563448E+00	  +1.0002712418609196E+01	  +8.4338394634683063E+04	  +9.5338404139075821E+04	  +9.7169943359589306E+04	
  +1.3050000000000000E+02	  +4.6656975639829161E+00	  +6.2329670554590821E+00	  +1.0002712330014081E+01	  +8.4338395401692222E+04	  +9.5338403626639119E+04	  +9.7169943341966689E+04	
  +1.3062500000000000E+02	  +4.6656975754899976E+00	  +6.2329672165483654E+00	  +1.0002712182813157E+01	  +8.4338395611569678E+04	  +9.5338408135688587E+04	  +9.7169939410242630E+04	
  +1.3075000000000000E+02	  +4.6656975503307896E+00	  +6.2329672295124814E+00	  +1.0002712199609931E+01	  +8.4338395152691330E+04	  +9.5338408287038474E+04	  +9.7169939548697352E+04	
  +1.3087500000000000E+02	  +4.6656979909980523E+00	  +6.2329670927354215E+00	  +1.0002712144603679E+01	  +8.4338403190013749E+04	  +9.5338404183845632E+04	  +9.7169940028662284E+04	
  +1.3100000000000000E+02	  +4.6656979922026895E+00	  +6.2329674215198363E+00	  +1.0002712324900729E+01	  +8.4338403211985118E+04	  +9.5338404146350425E+04	  +9.7169939638354408E+04	
  +1.3112500000000000E+02	  +4.6656976422102039E+00	  +6.2329674434702076E+00	  +1.0002712349328000E+01	  +8.4338396828478333E+04	  +9.5338404878617890E+04	  +9.7169939809061238E+04	
  +1.3125000000000000E+02	  +4.6656976070312739E+00	  +6.2329671484744722E+00	  +1.0002712128547502E+01	  +8.4338396186850470E+04	  +9.5338403730282429E+04	  +9.7169939222106186E+04	
  +1.3137500000000000E+02	  +4.6656976898105613E+00	  +6.2329671259802168E+00	  +1.0002712091599363E+01	  +8.4338397696660424E+04	  +9.5338403863838219E+04	  +9.7169938857942383E+04	
  +1.3150000000000000E+02	  +4.6656975219296291E+00	  +6.2329671958563448E+00	  +1.0002712418609196E+01	  +8.4338394634683063E+04	  +9.5338404139075821E+04	  +9.7169943359589306E+04	
  +1.3162500000000000E+02	  +4.6656975639829161E+00	  +6.2329670554590821E+00	  +1.0002712330014081E+01	  +8.4338395401692222E+04	  +9.5338403626639119E+04	  +9.7169943341966689E+04	
  +1.3175000000000000E+02	  +4.6656975754899976E+00	  +6.2329672165483654E+00	  +1.0002712182813157E+01	  +8.4338395611569678E+04	  +9.5338408135688587E+04	  +9.7169939410242630E+04	
  +1.3187500000000000E+02	  +4.6656975503307896E+00	  +6.2329672295124814E+00	  +1.0002712199609931E+01	  +8.4338395152691330E+04	  +9.5338408287038474E+04	  +9.7169939548697352E+04	
  +1.3200000000000000E+02	  +4.6656979909980523E+00	  +6.2329670927354215E+00	  +1.0002712144603679E+01	  +8.4338403190013749E+04	  +9.5338404183845632E+04	  +9.7169940028662284E+04	
  +1.3212500000000000E+02	  +4.6656979922026895E+00	  +6.2329674215198363E+00	  +1.0002712324900729E+01	  +8.4338403211985118E+04	  +9.5338404146350425E+04	  +9.7169939638354408E+04	
  +1.3225000000000000E+02	  +4.6656976422102039E+00	  +6.2329674434702076E+00	  +1.0002712349328000E+01	  +8.4338396828478333E+04	  +9.5338404878617890E+04	  +9.7169939809061238E+04	
  +1.3237500000000000E+02	  +4.6656976070312739E+00	  +6.2329671484744722E+00	  +1.0002712128547502E+01	  +8.4338396186850470E+04	  +9.5338403730282429E+04	  +9.7169939222106186E+04	
  +1.3250000000000000E+02	  +4.6656976898105613E+00	  +6.2329671259802168E+00	  +1.0002712091599363E+01	  +8.4338397696660424E+04	  +9.5338403863838219E+04	  +9.7169938857942383E+04	
  +1.3262500000000000E+02	  +4.6656975219296291E+00	  +6.2329671958563448E+00	  +1.0002712418609196E+01	  +8.4338394634683063E+04	  +9.5338404139075821E+04	  +9.7169943359589306E+04	
  +1.3275000000000000E+02	  +4.6656975639829161E+00	  +6.2329670554590821E+00	  +1.0002712330014081E+01	  +8.4338395401692222E+04	  +9.5338403626639119E+04	  +9.7169943341966689E+04	
  +1.3287500000000000E+02	  +4.6656975754899976E+00	  +6.2329672165483654E+00	  +1.0002712182813157E+01	  +8.4338395611569678E+04	  +9.5338408135688587E+04	  +9.7169939410242630E+04	
  +1.3300000000000000E+02	  +4.6656975503307896E+00	  +6.2329672295124814E+00	  +1.0002712199609931E+01	  +8.4338395152691330E+04	  +9.5338408287038474E+04	  +9.7169939548697352E+04	
  +1.3312500000000000E+02	  +4.6656979909980523E+00	  +6.2329670927354215E+00	  +1.0002712144603679E+01	  +8.4338403190013749E+04	  +9.5338404183845632E+04	  +9.7169940028662284E+04	
  +1.3325000000000000E+02	  +4.6656979922026895E+00	  +6.2329674215198363E+00	  +1.0002712324900729E+01	  +8.4338403211985118E+04	  +9.5338404146350425E+04	  +9.7169939638354408E+04	
  +1.3337500000000000E+02	  +4.6656976422102039E+00	  +6.2329674434702076E+00	  +1.0002712349328000E+01	  +8.4338396828478333E+04	  +9.5338404878617890E+04	  +9.7169939809061238E+04	
  +1.3350000000000000E+02	  +4.6656976070312739E+00	  +6.2329671484744722E+00	  +1.0002712128547502E+01	  +8.4338396186850470E+04	  +9.5338403730282429E+04	  +9.7169939222106186E+04	
  +1.3362500000000000E+02	  +4.6656976898105613E+00	  +6.2329671259802168E+00	  +1.0002712091599363E+01	  +8.4338397696660424E+04	  +9.5338403863838219E+04	  +9.7169938857942383E+04	
  +1.3375000000000000E+02	  +4.6656975219296291E+00	  +6.2329671958563448E+00	  +1.0002712418609196E+01	  +8.4338394634683063E+04	  +9.5338404139075821E+04	  +9.7169943359589306E+04	
  +1.3387500000000000E+02	  +4.6656975639829161E+00	  +6.2329670554590821E+00	  +1.0002712330014081E+01	  +8.4338395401692222E+04	  +9.5338403626639119E+04	  +9.7169943341966689E+04	
  +1.3400000000000000E+02	  +4.6656975754899976E+00	  +6.2329672165483654E+00	  +1.0002712182813157E+01	  +8.4338395611569678E+04	  +9.5338408135688587E+04	  +9.7169939410242630E+04	
  +1.3412500000000000E+02	  +4.6656975503307896E+00	  +6.2329672295124814E+00	  +1.0002712199609931E+01	  +8.4338395152691330E+04	  +9.5338408287038474E+04	  +9.7169939548697352E+04	
  +1.3425000000000000E+02	  +4.6656979909980523E+00	  +6.2329670927354215E+00	  +1.0002712144603679E+01	  +8.4338403190013749E+04	  +9.5338404183845632E+04	  +9.7169940028662284E+04	
  +1.3437500000000000E+02	  +4.6656979922026895E+00	  +6.2329674215198363E+00	  +1.0002712324900729E+01	  +8.4338403211985118E+04	  +9.5338404146350425E+04	  +9.7169939638354408E+04	
  +1.3450000000000000E+02	  +4.6656976422102039E+00	  +6.2329674434702076E+00	  +1.0002712349328000E+01	  +8.4338396828478333E+04	  +9.5338404878617890E+04	  +9.7169939809061238E+04	
  +1.3462500000000000E+02	  +4.6656976070312739E+00	  +6.2329671484744722E+00	  +1.0002712128547502E+01	  +8.4338396186850470E+04	  +9.5338403730282429E+04	  +9.7169939222106186E+04	
  +1.3475000000000000E+02	  +4.6656976898105613E+00	  +6.2329671259802168E+00	  +1.0002712091599363E+01	  +8.4338397696660424E+04	  +9.5338403863838219E+04	  +9.7169938857942383E+04	
  +1.3487500000000000E+02	  +4.6656975219296291E+00	  +6.2329671958563448E+00	  +1.0002712418609196E+01	  +8.4338394634683063E+04	  +9.5338404139075821E+04	  +9.7169943359589306E+04	
  +1.3500000000000000E+02	  +4.6656975639829161E+00	  +6.2329670554590821E+00	  +1.0002712330014081E+01	  +8.4338395401692222E+04	  +9.5338403626639119E+04	  +9.7169943341966689E+04	
  +1.3512500000000000E+02	  +4.6656975754899976E+00	  +6.2329672165483654E+00	  +1.0002712182813157E+01	  +8.4338395611569678E+04	  +9.5338408135688587E+04	  +9.7169939410242630E+04	
  +1.3525000000000000E+02	  +4.6656975503307896E+00	  +6.2329672295124814E+00	  +1.0002712199609931E+01	  +8.4338395152691330E+04	  +9.5338408287038474E+04	  +9.7169939548697352E+04	
  +1.3537500000000000E+02	  +4.6656979909980523E+00	  +6.2329670927354215E+00	  +1.0002712144603679E+01	  +8.4338403190013749E+04	  +9.5338404183845632E+04	  +9.7169940028662284E+04	
  +1.3550000000000000E+02	  +4.6656979922026895E+00	  +6.2329674215198363E+00	  +1.0002712324900729E+01	  +8.4338403211985118E+04	  +9.5338404146350425E+04	  +9.7169939638354408E+04	
  +1.3562500000000000E+02	  +4.6656976422102039E+00	  +6.2329674434702076E+00	  +1.0002712349328000E+01	  +8.4338396828478333E+04	  +9.5338404878617890E+04	  +9.7169939809061238E+04	
  +1.3575000000000000E+02	  +4.6656976070312739E+00	  +6.2329671484744722E+00	  +1.0002712128547502E+01	  +8.4338396186850470E+04	  +9.5338403730282429E+04	  +9.7169939222106186E+04	
  +1.3587500000000000E+02	  +4.6656976898105613E+00	  +6.2329671259802168E+00	  +1.0002712091599363E+01	  +8.4338397696660424E+04	  +9.5338403863838219E+04	  +9.7169938857942383E+04	
  +1.3600000000000000E+02	  +4.6656975219296291E+00	  +6.2329671958563448E+00	  +1.0002712418609196E+01	  +8.4338394634683063E+04	  +9.5338404139075821E+04	  +9.7169943359589306E+04	
  +1.3612500000000000E+02	  +4.6656975639829161E+00	  +6.2329670554590821E+00	  +1.0002712330014081E+01	  +8.4338395401692222E+04	  +9.5338403626639119E+04	  +9.7169943341966689E+04	
  +1.3625000000000000E+02	  +4.6656975754899976E+00	  +6.2329672165483654E+00	  +1.0002712182813157E+01	  +8.4338395611569678E+04	  +9.5338408135688587E+04	  +9.7169939410242630E+04	
  +1.3637500000000000E+02	  +4.6656975503307896E+00	  +6.2329672295124814E+00	  +1.0002712199609931E+01	  +8.4338395152691330E+04	  +9.5338408287038474E+04	  +9.7169939548697352E+04	
  +1.3650000000000000E+02	  +4.6656979909980523E+00	  +6.2329670927354215E+00	  +1.0002712144603679E+01	  +8.4338403190013749E+04	  +9.5338404183845632E+04	  +9.7169940028662284E+04	
  +1.3662500000000000E+02	  +4.6656979922026895E+00	  +6.2329674215198363E+00	  +1.0002712324900729E+01	  +8.4338403211985118E+04	  +9.5338404146350425E+04	  +9.7169939638354408E+04	
  +1.3675000000000000E+02	  +4.6656976422102039E+00	  +6.2329674434702076E+00	  +1.0002712349328000E+01	  +8.4338396828478333E+04	  +9.5338404878617890E+04	  +9.7169939809061238E+04	
  +1.3687500000000000E+02	  +4.6656976070312739E+00	  +6.2329671484744722E+00	  +1.0002712128547502E+01	  +8.4338396186850470E+04	  +9.5338403730282429E+04	  +9.7169939222106186E+04	
  +1.3700000000000000E+02	  +4.6656976898105613E+00	  +6.2329671259802168E+00	  +1.0002712091599363E+01	  +8.4338397696660424E+04	  +9.5338403863838219E+04	  +9.7169938857942383E+04	
  +1.3712500000000000E+02	  +4.6656975219296291E+00	  +6.2329671958563448E+00	  +1.0002712418609196E+01	  +8.4338394634683063E+04	  +9.5338404139075821E+04	  +9.7169943359589306E+04	
  +1.3725000000000000E+02	  +4.6656975639829161E+00	  +6.2329670554590821E+00	  +1.0002712330014081E+01	  +8.4338395401692222E+04	  +9.5338403626639119E+04	  +9.7169943341966689E+04	
  +1.3737500000000000E+02	  +4.6656975754899976E+00	  +6.2329672165483654E+00	  +1.0002712182813157E+01	  +8.4338395611569678E+04	  +9.5338408135688587E+04	  +9.7169939410242630E+04	
  +1.3750000000000000E+02	  +4.6656975503307896E+00	  +6.2329672295124814E+00	  +1.0002712199609931E+01	  +8.4338395152691330E+04	  +9.5338408287038474E+04	  +9.7169939548697352E+04	
  +1.3762500000000000E+02	  +4.6656979909980523E+00	  +6.2329670927354215E+00	  +1.0002712144603679E+01	  +8.4338403190013749E+04	  +9.5338404183845632E+04	  +9.7169940028662284E+04	
  +1.3775000000000000E+02	  +4.6656979922026895E+00	  +6.2329674215198363E+00	  +1.0002712324900729E+01	  +8.4338403211985118E+04	  +9.5338404146350425E+04	  +9.7169939638354408E+04	
  +1.3787500000000000E+02	  +4.6656976422102039E+00	  +6.2329674434702076E+00	  +1.0002712349328000E+01	  +8.4338396828478333E+04	  +9.5338404878617890E+04	  +9.7169939809061238E+04	
  +1.3800000000000000E+02	  +4.6656976070312739E+00	  +6.2329671484744722E+00	  +1.0002712128547502E+01	  +8.4338396186850470E+04	  +9.5338403730282429E+04	  +9.7169939222106186E+04	
