 TIME                    	Wgross_MW                	Wnet_MW                  	Qboiler_MW               	Q_LHV_MW                 	eta_gross                	eta_net                  	eta_CHP                  	
  +1.3750000000000000E+01	  +2.9337449706622280E+01	  +2.6058083323547184E+01	  +7.7296110673673340E+01	  +9.3127844185148589E+01	  +3.1502339566989379E-01	  +2.7980979857904575E-01	  +2.9054772565928488E-01	
  +1.3875000000000000E+01	  +2.8713779983368788E+01	  +2.9487417211872245E+01	  +7.7848271731503431E+01	  +9.3793098471690868E+01	  +3.0613958224266719E-01	  +3.1438792077833205E-01	  +3.2504968604991891E-01	
  +1.4000000000000000E+01	  +2.9337484988698844E+01	  +2.6058114717468612E+01	  +7.7296058604629494E+01	  +9.3127781451360832E+01	  +3.1502398673613147E-01	  +2.7981032417354806E-01	  +2.9054825848719096E-01	
  +1.4125000000000000E+01	  +2.8713779451601852E+01	  +2.9458915729238033E+01	  +7.7848251703927801E+01	  +9.3793074342081681E+01	  +3.0613965533187537E-01	  +3.1408412546320430E-01	  +3.2474589347768273E-01	
  +1.4250000000000000E+01	  +2.9337547815845902E+01	  +2.6058170811735117E+01	  +7.7295993497110175E+01	  +9.3127703008566471E+01	  +3.1502492671968135E-01	  +2.7981116219883706E-01	  +2.9054910555719532E-01	
  +1.4375000000000000E+01	  +2.8713802828624765E+01	  +2.9423872903757147E+01	  +7.7848227112882469E+01	  +9.3793044714316224E+01	  +3.0614000127710955E-01	  +3.1371060608362994E-01	  +3.2437237746599518E-01	
  +1.4500000000000000E+01	  +2.9337603822166379E+01	  +2.6058220737314279E+01	  +7.7295923928589019E+01	  +9.3127619191071105E+01	  +3.1502581164427762E-01	  +2.7981195013533311E-01	  +2.9054990315814461E-01	
  +1.4625000000000000E+01	  +2.8713800432340193E+01	  +2.9388826001068661E+01	  +7.7848202419774239E+01	  +9.3793014963583417E+01	  +3.0614007283472833E-01	  +3.1333704340860913E-01	  +3.2399881817284143E-01	
  +1.4750000000000000E+01	  +2.9337668704990207E+01	  +2.6058278651608568E+01	  +7.7295854402765443E+01	  +9.3127535425018593E+01	  +3.1502679171201048E-01	  +2.7981282370120625E-01	  +2.9055078638255677E-01	
  +1.4875000000000000E+01	  +2.8713796057644348E+01	  +2.9353793942594869E+01	  +7.7848177925253367E+01	  +9.3792985452112475E+01	  +3.0614012251806016E-01	  +3.1296363796397036E-01	  +3.2362541608287421E-01	
  +1.5000000000000000E+01	  +2.9337734545478678E+01	  +2.6058337427738632E+01	  +7.7295784845696005E+01	  +9.3127451621320475E+01	  +3.1502778219222888E-01	  +2.7981370663613081E-01	  +2.9055167898037848E-01	
  +1.5125000000000000E+01	  +2.8713798545857113E+01	  +2.9315642724026258E+01	  +7.7848151070996181E+01	  +9.3792953097585752E+01	  +3.0614025465199063E-01	  +3.1255698595527909E-01	  +3.2321876775203690E-01	
  +1.5250000000000000E+01	  +2.9337801694482927E+01	  +2.6058397252166184E+01	  +7.7295696547346935E+01	  +9.3127345237767386E+01	  +3.1502886310760109E-01	  +2.7981466867368959E-01	  +2.9055265328440577E-01	
  +1.5375000000000000E+01	  +2.8713800658454595E+01	  +2.9268082148037347E+01	  +7.7848117670957748E+01	  +9.3792912856575597E+01	  +3.0614040852279106E-01	  +3.1205003935417741E-01	  +3.2271182572527735E-01	
  +1.5500000000000000E+01	  +2.9337865518303548E+01	  +2.6058454040684708E+01	  +7.7295601976762853E+01	  +9.3127231297304633E+01	  +3.1502993388307327E-01	  +2.7981562081980327E-01	  +2.9055361856836237E-01	
  +1.5625000000000000E+01	  +2.8713782685531310E+01	  +2.9220537232204926E+01	  +7.7848084179859910E+01	  +9.3792872505855300E+01	  +3.0614034860419448E-01	  +3.1154325964780261E-01	  +3.2220505060571974E-01	
  +1.5750000000000000E+01	  +2.9337970182017354E+01	  +2.6058547585164572E+01	  +7.7295507393702337E+01	  +9.3127117341810035E+01	  +3.1503144325123311E-01	  +2.7981696769932568E-01	  +2.9055497858749307E-01	
  +1.5875000000000000E+01	  +2.8713784599149864E+01	  +2.9173042816731389E+01	  +7.7848050705673657E+01	  +9.3792832175510426E+01	  +3.0614050064528403E-01	  +3.1103701786231541E-01	  +3.2169881340473749E-01	
  +1.6000000000000000E+01	  +2.9338042533417685E+01	  +2.6058612047802381E+01	  +7.7295412020874338E+01	  +9.3127002434788352E+01	  +3.1503260887154055E-01	  +2.7981800515967187E-01	  +2.9055602929719571E-01	
  +1.6125000000000000E+01	  +2.8713782357136449E+01	  +2.9129395753129497E+01	  +7.7848019937692897E+01	  +9.3792795105654079E+01	  +3.0614059773772012E-01	  +3.1057178454183310E-01	  +3.2123358429813142E-01	
  +1.6250000000000000E+01	  +2.9338116039784111E+01	  +2.6058677708495509E+01	  +7.7295340627402553E+01	  +9.3126916418557286E+01	  +3.1503368916376945E-01	  +2.7981896867899331E-01	  +2.9055700273464180E-01	
  +1.6375000000000000E+01	  +2.8713781905625659E+01	  +2.9097223797830399E+01	  +7.7847997113913536E+01	  +9.3792767607124730E+01	  +3.0614068267929528E-01	  +3.1022886455074711E-01	  +3.2089066743291345E-01	
  +1.6500000000000000E+01	  +2.9338152245479542E+01	  +2.6058709850926750E+01	  +7.7295276719688630E+01	  +9.3126839421311601E+01	  +3.1503433841185052E-01	  +2.7981954518004770E-01	  +2.9055758811389987E-01	
  +1.6625000000000000E+01	  +2.8713781037413007E+01	  +2.9065067158177598E+01	  +7.7847974514161791E+01	  +9.3792740378508171E+01	  +3.0614076229712689E-01	  +3.0988610675925637E-01	  +3.2054791273661049E-01	
  +1.6750000000000000E+01	  +2.9338230236110057E+01	  +2.6058779599959006E+01	  +7.7295212862932885E+01	  +9.3126762485461299E+01	  +3.1503543614211071E-01	  +2.7982052531920920E-01	  +2.9055857712420047E-01	
  +1.6875000000000000E+01	  +2.8713777129711051E+01	  +2.9032922691157250E+01	  +7.7847951789243268E+01	  +9.3792712999088266E+01	  +3.0614081000077448E-01	  +3.0954347904873453E-01	  +3.2020528813842064E-01	
  +1.7000000000000000E+01	  +2.9338289546593039E+01	  +2.6058832536745314E+01	  +7.7295148946659836E+01	  +9.3126685477903408E+01	  +3.1503633352820515E-01	  +2.7982132514453562E-01	  +2.9055938582894897E-01	
  +1.7125000000000000E+01	  +2.8713798759292430E+01	  +2.9012113395056694E+01	  +7.7847937042018586E+01	  +9.3792695231347679E+01	  +3.0614109860546601E-01	  +3.0932167290315993E-01	  +3.1998348401257964E-01	
  +1.7250000000000000E+01	  +2.9338283558909851E+01	  +2.6058827172235375E+01	  +7.7295152494969102E+01	  +9.3126689752974812E+01	  +3.1503625477005293E-01	  +2.7982125469463454E-01	  +2.9055931488610670E-01	
  +1.7375000000000000E+01	  +2.8713777350598154E+01	  +2.9025163770888589E+01	  +7.7847946307977608E+01	  +9.3792706395153743E+01	  +3.0614083391117275E-01	  +3.0946077671118694E-01	  +3.2012258655156994E-01	
  +1.7500000000000000E+01	  +2.9338265625811939E+01	  +2.6058811212506487E+01	  +7.7295178473988869E+01	  +9.3126721052998633E+01	  +3.1503595631929815E-01	  +2.7982098926983973E-01	  +2.9055904585223458E-01	
  +1.7625000000000000E+01	  +2.8713775451926267E+01	  +2.9038231929583262E+01	  +7.7847955606520642E+01	  +9.3792717598217635E+01	  +3.0614077710092835E-01	  +3.0960006995399270E-01	  +3.2026187852087662E-01	
  +1.7750000000000000E+01	  +2.9338238371358702E+01	  +2.6058786863464242E+01	  +7.7295204441516887E+01	  +9.3126752339176960E+01	  +3.1503555782237419E-01	  +2.7982063380193406E-01	  +2.9055868677685043E-01	
  +1.7875000000000000E+01	  +2.8713782997340793E+01	  +2.9051312068796804E+01	  +7.7847964802394131E+01	  +9.3792728677583284E+01	  +3.0614082138547982E-01	  +3.0973949130600509E-01	  +3.2040129861345157E-01	
