,QDHtot_kW,Tindoor0_Cdeg,Tindoor1_Cdeg,QDHapt0_W,QDHapt1_W,Tthermo0_Cdeg,Tthermo1_Cdeg,TsetP_Cdeg,COG_MDOTtoTES_kgs,COG_MDOTfromTES_kgs,COG_MDOTtoLOAD_kgs,HOB_Q_kW,HOB_Flag,HOB_mdotOUT
2000-01-03 02:00:00,0.0,17.83689372815566,17.76747544842505,5.90071217e-316,9.89509735e-316,22.0,22.0,80.38,507.0,0.0,0.0,0.0,1.0,0.0
2000-01-03 03:00:00,0.0,17.75878916256351,17.6729210319578,5.9007114e-316,9.8950934e-316,22.0,22.0,80.92,507.0,0.0,0.0,0.0,1.0,0.0
2000-01-03 04:00:00,0.0,17.6416229680724,17.55708695598056,5.90070585e-316,9.895076e-316,22.0,22.0,81.28,507.0,0.0,0.0,0.0,1.0,0.0
2000-01-03 05:00:00,0.0,17.55843394435658,17.48003658881415,5.90070506e-316,9.895095e-316,22.0,22.0,80.92,507.0,0.0,0.0,0.0,1.0,0.0
2000-01-03 06:00:00,51068.72546955741,21.67047601550167,21.47951494346167,1459.666367851401,1459.022717837969,22.0,22.0,80.38,0.0,2.2777061707502684,507.0,12564.027840000004,-1.0,507.0
2000-01-03 07:00:00,65667.62382547917,21.97114247100983,21.86049373089176,1710.866573115753,1837.421449160226,20.0,20.0,80.02,0.0,147.8637453555183,507.0,0.0,1.0,0.0
2000-01-03 08:00:00,56437.27603195633,22.10844654303346,22.1141765412498,1541.131078778497,1591.411552636535,20.0,20.0,80.38,0.0,55.815034364017826,507.0,10653.956039999992,1.0,507.0
2000-01-03 09:00:00,55410.39629360446,19.98468507802212,19.9643595753597,1493.93370970974,1515.316208309782,20.0,20.0,80.56,0.0,45.57457990068356,507.0,11417.98475999999,1.0,507.0
2000-01-03 10:00:00,54813.28606766655,20.08882656474673,20.09397615455961,1581.420380525555,1595.438029277271,20.0,20.0,80.92,0.0,39.61995848854949,507.0,11799.999120000006,-1.0,507.0
2000-01-03 11:00:00,44467.927772240255,20.07426664675276,20.07612300075996,1273.488734845389,1264.326754723289,20.0,20.0,80.02,63.548082103514396,0.0,443.4519178964856,0.0,-1.0,0.0
2000-01-03 12:00:00,43208.45828886859,20.15626403476123,20.07435567934867,1255.85997774066,1205.312353731471,20.0,20.0,79.12,76.10801430435916,0.0,430.8919856956409,0.0,-1.0,0.0
2000-01-03 13:00:00,41653.66511180554,20.34069644973814,20.12893231904347,1265.209823161709,1156.695182853711,20.0,20.0,78.22,91.6130322089728,0.0,415.38696779102725,0.0,-1.0,0.0
2000-01-03 14:00:00,44668.399055424554,20.22572846898984,20.07134518776217,1270.060809226124,1228.459396227472,20.0,20.0,78.94,61.54890248208735,0.0,445.4510975179127,0.0,-1.0,0.0
