 TIME                    ,CSP_load_factor          ,HT_Level                 ,Global_Radiation         ,dtSim                    ,ct_fr                    ,DNI                      ,FILL_FREQ                ,EMP_FREQ                 ,PowerCSP                 ,PowerPV                  ,Ptotal                   ,AC_Crtld                 ,PVnet_to_grid            ,DC_curtailed             ,cleanCSP                 ,LOAD                     ,
  +2.2000000000000000E+01,  +1.0000000000000000E+00,  +7.5079236891223744E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0039553736451353E+02,  +0.0000000000000000E+00,  +2.0039553736451353E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +2.3000000000000000E+01,  +1.0000000000000000E+00,  +6.8682651264047279E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0035679503058515E+02,  +0.0000000000000000E+00,  +2.0035679503058515E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +2.4000000000000000E+01,  +1.0000000000000000E+00,  +6.2298568451883940E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0027538814597889E+02,  +0.0000000000000000E+00,  +2.0027538814597889E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +2.5000000000000000E+01,  +1.0000000000000000E+00,  +5.5923909491407764E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0021961551218848E+02,  +0.0000000000000000E+00,  +2.0021961551218848E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +2.6000000000000000E+01,  +1.0000000000000000E+00,  +4.9556569439867587E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0021831866161239E+02,  +0.0000000000000000E+00,  +2.0021831866161239E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +2.7000000000000000E+01,  +1.0000000000000000E+00,  +4.3195794038590424E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0015027577986805E+02,  +0.0000000000000000E+00,  +2.0015027577986805E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +2.8000000000000000E+01,  +1.0000000000000000E+00,  +3.6840514208056135E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.9977343707593607E+02,  +0.0000000000000000E+00,  +1.9977343707593607E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +2.9000000000000000E+01,  +9.3628500000000003E-01,  +3.0754751364746707E-01,  +2.5434999999999999E+02,  +1.0000000000000000E+00,  +1.5604232799307796E+08,  +9.9539999999999998E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.9969026096700841E+02,  +2.9725999999999999E+01,  +2.2941626096700841E+02,  +0.0000000000000000E+00,  +2.9725999999999999E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +3.0000000000000000E+01,  +8.1777000000000000E-01,  +2.6986232773182567E-01,  +4.7788000000000000E+02,  +1.0000000000000000E+00,  +1.0574248233204845E+09,  +2.5380000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.7218019706195639E+02,  +5.5292999999999999E+01,  +2.2747319706195640E+02,  +0.0000000000000000E+00,  +5.5292999999999999E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +3.1000000000000000E+01,  +7.0374000000000003E-01,  +3.0025296259260503E-01,  +7.3937000000000000E+02,  +1.0000000000000000E+00,  +3.5729625924644785E+09,  +3.3318000000000002E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.4473794022876834E+02,  +8.2927000000000007E+01,  +2.2766494022876833E+02,  +0.0000000000000000E+00,  +8.2927000000000007E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
