,OUT||Base8||Tout,OUT||Base8||mdot
2000-01-15 10:00:00,75.0,452.352624479695
2000-01-15 11:00:00,75.0,507.0
2000-01-15 12:00:00,75.0,507.0
2000-01-15 13:00:00,75.0,507.0
2000-01-15 14:00:00,75.0,507.0
2000-01-15 15:00:00,75.0,507.0
2000-01-15 16:00:00,75.0,507.0
2000-01-15 17:00:00,75.0,380.0883242669289
2000-01-15 18:00:00,75.0,342.56037058493825
2000-01-15 19:00:00,75.0,365.6377903402239
2000-01-15 20:00:00,75.0,365.86222451242526
2000-01-15 21:00:00,75.0,0.0
2000-01-15 22:00:00,75.0,0.0
2000-01-15 23:00:00,75.0,0.0
2000-01-16 00:00:00,75.0,0.0
2000-01-16 01:00:00,75.0,0.0
2000-01-16 02:00:00,75.0,0.0
2000-01-16 03:00:00,75.0,0.0
2000-01-16 04:00:00,75.0,0.0
2000-01-16 05:00:00,75.0,0.0
2000-01-16 06:00:00,75.0,346.34172170931623
2000-01-16 07:00:00,75.0,346.89187592749374
2000-01-16 08:00:00,75.0,451.6056307591232
2000-01-16 09:00:00,75.0,507.0
2000-01-16 10:00:00,75.0,634.374360380936
2000-01-16 11:00:00,75.0,507.0
2000-01-16 12:00:00,75.0,499.5082531853274
2000-01-16 13:00:00,75.0,492.54635602679457
2000-01-16 14:00:00,75.0,507.0
2000-01-16 15:00:00,75.0,507.0
2000-01-16 16:00:00,75.0,507.0
2000-01-16 17:00:00,75.0,507.0
2000-01-16 18:00:00,75.0,486.0236717923843
2000-01-16 19:00:00,75.0,248.32575522289528
2000-01-16 20:00:00,75.0,217.2792699931242
2000-01-16 21:00:00,75.0,0.0
2000-01-16 22:00:00,75.0,0.0
2000-01-16 23:00:00,75.0,0.0
2000-01-17 00:00:00,75.0,0.0
2000-01-17 01:00:00,75.0,0.0
2000-01-17 02:00:00,75.0,0.0
2000-01-17 03:00:00,75.0,0.0
2000-01-17 04:00:00,75.0,0.0
2000-01-17 05:00:00,75.0,0.0
2000-01-17 06:00:00,75.0,410.36917957976823
2000-01-17 07:00:00,75.0,462.9998462180884
2000-01-17 08:00:00,75.0,446.0495102376205
2000-01-17 09:00:00,75.0,507.0
2000-01-17 10:00:00,75.0,637.3893185034754
2000-01-17 11:00:00,75.0,568.5221679944805
2000-01-17 12:00:00,75.0,507.0
2000-01-17 13:00:00,75.0,488.1765944678627
2000-01-17 14:00:00,75.0,507.0
2000-01-17 15:00:00,75.0,507.0
2000-01-17 16:00:00,75.0,507.0
2000-01-17 17:00:00,75.0,507.0
2000-01-17 18:00:00,75.0,432.55752487440037
2000-01-17 19:00:00,75.0,244.90254934876438
2000-01-17 20:00:00,75.0,218.796498990203
2000-01-17 21:00:00,75.0,0.0
2000-01-17 22:00:00,75.0,0.0
2000-01-17 23:00:00,75.0,0.0
2000-01-18 00:00:00,75.0,0.0
2000-01-18 01:00:00,75.0,0.0
2000-01-18 02:00:00,75.0,0.0
2000-01-18 03:00:00,75.0,0.0
2000-01-18 04:00:00,75.0,0.0
2000-01-18 05:00:00,75.0,0.0
2000-01-18 06:00:00,75.0,349.36639783215725
2000-01-18 07:00:00,75.0,347.28756497635646
2000-01-18 08:00:00,75.0,375.57796731095885
2000-01-18 09:00:00,75.0,507.0
2000-01-18 10:00:00,75.00000000000001,590.2500048771076
2000-01-18 11:00:00,75.0,514.5866345745208
2000-01-18 12:00:00,75.0,506.0869683654769
2000-01-18 13:00:00,75.0,507.0
2000-01-18 14:00:00,75.0,507.0
2000-01-18 15:00:00,75.0,507.0
2000-01-18 16:00:00,75.0,507.0
2000-01-18 17:00:00,75.0,507.0
2000-01-18 18:00:00,75.0,507.0
2000-01-18 19:00:00,75.0,263.31147541868614
2000-01-18 20:00:00,75.0,331.4874436304327
2000-01-18 21:00:00,75.0,0.0
2000-01-18 22:00:00,75.0,0.0
2000-01-18 23:00:00,75.0,0.0
2000-01-19 00:00:00,75.0,0.0
2000-01-19 01:00:00,75.0,0.0
2000-01-19 02:00:00,75.0,0.0
2000-01-19 03:00:00,75.0,0.0
2000-01-19 04:00:00,75.0,0.0
2000-01-19 05:00:00,75.0,0.0
2000-01-19 06:00:00,75.0,464.4720616980227
2000-01-19 07:00:00,75.0,450.3669088761698
2000-01-19 08:00:00,75.0,436.5298229263577
2000-01-19 09:00:00,75.0,507.0
2000-01-19 10:00:00,75.0,507.0
2000-01-19 11:00:00,75.0,507.0
2000-01-19 12:00:00,75.0,507.0
2000-01-19 13:00:00,75.0,507.0
2000-01-19 14:00:00,75.0,507.0
2000-01-19 15:00:00,75.0,507.0
2000-01-19 16:00:00,75.0,507.0
2000-01-19 17:00:00,75.0,507.0
2000-01-19 18:00:00,75.0,507.0
2000-01-19 19:00:00,75.0,284.4132721948273
2000-01-19 20:00:00,75.0,278.706879802715
2000-01-19 21:00:00,75.0,0.0
2000-01-19 22:00:00,75.0,0.0
2000-01-19 23:00:00,75.0,0.0
2000-01-20 00:00:00,75.0,0.0
2000-01-20 01:00:00,75.0,0.0
2000-01-20 02:00:00,75.0,0.0
2000-01-20 03:00:00,75.0,0.0
2000-01-20 04:00:00,75.0,0.0
2000-01-20 05:00:00,75.0,0.0
2000-01-20 06:00:00,75.0,494.2825181552677
2000-01-20 07:00:00,75.0,483.6900030542489
2000-01-20 08:00:00,75.0,465.10994252804704
2000-01-20 09:00:00,75.0,507.0
2000-01-20 10:00:00,75.0,507.0
2000-01-20 11:00:00,75.0,507.0
2000-01-20 12:00:00,75.0,507.0
2000-01-20 13:00:00,75.0,507.0
2000-01-20 14:00:00,75.0,507.0
2000-01-20 15:00:00,75.0,507.0
2000-01-20 16:00:00,75.0,507.0
2000-01-20 17:00:00,75.0,507.0
2000-01-20 18:00:00,75.0,507.0
2000-01-20 19:00:00,75.0,383.25265928546565
2000-01-20 20:00:00,75.0,433.92201471417076
2000-01-20 21:00:00,75.0,0.0
2000-01-20 22:00:00,75.0,0.0
2000-01-20 23:00:00,75.0,0.0
2000-01-21 00:00:00,75.0,0.0
2000-01-21 01:00:00,75.0,0.0
2000-01-21 02:00:00,75.0,0.0
2000-01-21 03:00:00,75.0,0.0
2000-01-21 04:00:00,75.0,0.0
2000-01-21 05:00:00,75.0,0.0
2000-01-21 06:00:00,75.0,486.4584610929611
2000-01-21 07:00:00,75.0,452.5998101090617
2000-01-21 08:00:00,75.0,457.8029373360637
2000-01-21 09:00:00,75.0,460.34637060296717
2000-01-21 10:00:00,75.0,465.80204489559327
2000-01-21 11:00:00,75.0,507.0
2000-01-21 12:00:00,75.0,507.0
2000-01-21 13:00:00,75.0,507.0
2000-01-21 14:00:00,75.0,507.0
2000-01-21 15:00:00,75.0,507.0
2000-01-21 16:00:00,75.0,507.0
2000-01-21 17:00:00,75.0,445.9526655441713
2000-01-21 18:00:00,75.0,420.32984339582976
2000-01-21 19:00:00,75.0,439.03017941270315
2000-01-21 20:00:00,75.0,448.1394528215521
2000-01-21 21:00:00,75.0,0.0
2000-01-21 22:00:00,75.0,0.0
2000-01-21 23:00:00,75.0,0.0
2000-01-22 00:00:00,75.0,0.0
2000-01-22 01:00:00,75.0,0.0
2000-01-22 02:00:00,75.0,0.0
2000-01-22 03:00:00,75.0,0.0
2000-01-22 04:00:00,75.0,0.0
2000-01-22 05:00:00,75.0,0.0
2000-01-22 06:00:00,75.0,481.42667014147383
2000-01-22 07:00:00,75.0,466.6805213074931
2000-01-22 08:00:00,75.0,451.1650744370968
2000-01-22 09:00:00,75.0,457.6085547576993
2000-01-22 10:00:00,75.0,455.6571874677492
2000-01-22 11:00:00,75.0,507.0
2000-01-22 12:00:00,75.0,507.0
2000-01-22 13:00:00,75.0,507.0
2000-01-22 14:00:00,75.0,507.0
2000-01-22 15:00:00,75.0,507.0
2000-01-22 16:00:00,75.0,507.0
2000-01-22 17:00:00,75.0,424.87433293062674
2000-01-22 18:00:00,75.0,432.8633914503857
2000-01-22 19:00:00,75.0,437.3460654958774
2000-01-22 20:00:00,75.0,429.84656307933324
2000-01-22 21:00:00,75.0,0.0
2000-01-22 22:00:00,75.0,0.0
2000-01-22 23:00:00,75.0,0.0
2000-01-23 00:00:00,75.0,0.0
2000-01-23 01:00:00,75.0,0.0
2000-01-23 02:00:00,75.0,0.0
2000-01-23 03:00:00,75.0,0.0
2000-01-23 04:00:00,75.0,0.0
2000-01-23 05:00:00,75.0,0.0
2000-01-23 06:00:00,75.0,476.4450280037222
2000-01-23 07:00:00,75.0,459.66688707793423
2000-01-23 08:00:00,75.0,462.52240321280885
2000-01-23 09:00:00,75.0,507.0
2000-01-23 10:00:00,75.0,507.0
2000-01-23 11:00:00,75.0,507.0
2000-01-23 12:00:00,75.0,507.0
2000-01-23 13:00:00,75.0,507.0
2000-01-23 14:00:00,75.0,507.0
2000-01-23 15:00:00,75.0,507.0
2000-01-23 16:00:00,75.0,507.0
2000-01-23 17:00:00,75.0,507.0
2000-01-23 18:00:00,75.0,507.0
2000-01-23 19:00:00,75.0,333.1952229168128
2000-01-23 20:00:00,75.0,418.1849439535659
2000-01-23 21:00:00,75.0,0.0
2000-01-23 22:00:00,75.0,0.0
2000-01-23 23:00:00,75.0,0.0
2000-01-24 00:00:00,75.0,0.0
2000-01-24 01:00:00,75.0,0.0
2000-01-24 02:00:00,75.0,0.0
2000-01-24 03:00:00,75.0,0.0
2000-01-24 04:00:00,75.0,0.0
2000-01-24 05:00:00,75.0,0.0
2000-01-24 06:00:00,75.0,494.83864705904716
2000-01-24 07:00:00,75.0,507.0
2000-01-24 08:00:00,75.0,459.5686756324538
2000-01-24 09:00:00,75.0,507.0
2000-01-24 10:00:00,75.0,507.0
2000-01-24 11:00:00,75.0,507.0
2000-01-24 12:00:00,75.0,507.0
2000-01-24 13:00:00,75.0,507.0
2000-01-24 14:00:00,75.0,507.0
2000-01-24 15:00:00,75.0,507.0
2000-01-24 16:00:00,75.0,507.0
2000-01-24 17:00:00,75.0,507.0
2000-01-24 18:00:00,75.0,507.0
2000-01-24 19:00:00,75.0,371.89078338966823
2000-01-24 20:00:00,75.0,435.85747646844203
2000-01-24 21:00:00,75.0,0.0
2000-01-24 22:00:00,75.0,0.0
2000-01-24 23:00:00,75.0,0.0
2000-01-25 00:00:00,75.0,0.0
2000-01-25 01:00:00,75.0,0.0
2000-01-25 02:00:00,75.0,0.0
2000-01-25 03:00:00,75.0,0.0
2000-01-25 04:00:00,75.0,0.0
2000-01-25 05:00:00,75.0,0.0
2000-01-25 06:00:00,75.0,494.97918257298204
2000-01-25 07:00:00,75.0,476.1622436657259
2000-01-25 08:00:00,75.0,466.27789736632724
2000-01-25 09:00:00,75.0,507.0
2000-01-25 10:00:00,75.0,507.0
2000-01-25 11:00:00,75.0,507.0
2000-01-25 12:00:00,75.0,507.0
2000-01-25 13:00:00,75.0,507.0
2000-01-25 14:00:00,75.0,507.0
2000-01-25 15:00:00,75.0,507.0
2000-01-25 16:00:00,75.0,507.0
2000-01-25 17:00:00,75.0,507.0
