Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Air Temperature [C](Hourly),ERV_1_HX:Heat Exchanger Total Heating Rate [W](Hourly),ERV_1_FANSUPPLY:Fan Electric Power [W](Hourly),ERV_1_FANSUPPLY:Fan Air Mass Flow Rate [kg/s](Hourly),ERV_1_FANEXHAUST:Fan Electric Power [W](Hourly),ERV_1_FANEXHAUST:Fan Air Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/08  12:00:00,-6.7,17.841078395021598,0.0,0.0,0.0,0.0,0.0,1282.7559215940496,0.0499949,59.54691929424703,49.60847301318771,2000.0,49.91104484181501,59.47915071186445,0.0499949,7452000.0 
 01/08  13:00:00,-6.4,18.235236883200458,0.0,0.0,0.0,0.0,0.0,1274.1725494610241,0.0499949,59.49802898139541,49.7571455097695,2000.0,49.838025150792869,59.40616444182052,0.0499949,7502400.0 
 01/08  14:00:00,-6.6,18.183314038997673,0.0,0.0,0.0,0.0,0.0,1258.180350615349,0.0499949,59.460300511577987,49.82056345780044,2000.0,49.849616489808038,59.417750475485487,0.0499949,7466400.0 
 01/08  15:00:00,-6.9,18.091176494476348,0.0,0.0,0.0,0.0,0.0,1257.5432237915163,0.0499949,59.44268460026313,49.77769312212552,2000.0,49.85536436730854,59.42349572218749,0.0499949,7459200.0 
 01/08  16:00:00,-7.0,18.065836016613085,0.0,0.0,0.0,0.0,0.0,1254.3575340763796,0.0499949,59.43175546558024,49.762301068976487,2000.0,49.845991377937078,59.41412702282579,0.0499949,7423200.0 
 01/08  17:00:00,-7.2,19.881473205813597,0.0,0.0,0.0,0.0,0.0,1033.8948583062754,0.03668152595982143,59.47439428041924,49.517524454857767,1526.5214149783055,49.81363617277534,59.83206653596059,0.03668152595982143,5725877.093921901 
 01/08  18:00:00,-7.3,20.117644038929169,0.0,0.0,0.0,0.0,0.0,996.5658764681959,0.0382773453125,59.64745710262476,49.801019605542638,1635.329982908629,49.78148089064559,60.0,0.0382773453125,6211187.938471065 
 01/08  19:00:00,-7.2,20.114119350108873,0.0,0.0,0.0,0.0,0.0,1030.6435950794075,0.03983968593750001,59.77934186126083,49.97223248815418,1690.9486868435104,49.848329666160918,60.0,0.03983968593750001,6389815.272636637 
 01/08  20:00:00,-7.0,20.10440246477107,0.0,0.0,0.0,0.0,0.0,965.0845327859506,0.036402536562500007,59.86051263222946,49.80687807391444,1539.2388468353427,49.886614621782559,59.99999999999999,0.036402536562500007,5793259.848607234 
 01/08  21:00:00,-6.9,17.554948596229875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.88869783914724,59.88869783914724,0.0,49.88370202596702,49.88370202596702,0.0,216000.0 
 01/08  22:00:00,-6.6,16.86706419056081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.888697839147237,59.888697839147237,0.0,49.883702025967028,49.883702025967028,0.0,244800.0 
 01/08  23:00:00,-6.5,16.396768048776126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.888697839147237,59.888697839147237,0.0,49.883702025967028,49.883702025967028,0.0,187200.0 
 01/08  24:00:00,-6.7,16.008535645902563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.888697839147237,59.888697839147237,0.0,49.883702025967028,49.883702025967028,0.0,86400.0 
 01/09  01:00:00,-7.1,15.54747104360683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.888697839147237,59.888697839147237,0.0,49.883702025967028,49.883702025967028,0.0,43200.0 
 01/09  02:00:00,-7.3,15.367328307712782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.888697839147237,59.888697839147237,0.0,49.883702025967028,49.883702025967028,0.0,43200.0 
 01/09  03:00:00,-7.2,15.248303305879383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.888697839147237,59.888697839147237,0.0,49.883702025967028,49.883702025967028,0.0,43200.0 
 01/09  04:00:00,-7.9,15.099187955574898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.888697839147237,59.888697839147237,0.0,49.883702025967028,49.883702025967028,0.0,43200.0 
 01/09  05:00:00,-8.5,14.94482650911463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.888697839147237,59.888697839147237,0.0,49.883702025967028,49.883702025967028,0.0,43200.0 
 01/09  06:00:00,-9.5,19.28986303242919,0.0,0.0,0.0,0.0,0.0,1346.3745978944137,0.04468895087740384,59.82915865531568,49.8999077820717,1843.4191006730528,49.890259003281787,59.78013338664199,0.04468895087740384,6679508.76242299 
 01/09  07:00:00,-10.4,19.524687088837856,0.0,0.0,0.0,0.0,0.0,1208.660625184398,0.049994899999999998,59.77761285793995,50.233236284415358,2000.0,50.01615363073152,59.58419801569249,0.049994899999999998,7401600.0 
 01/09  08:00:00,-12.2,19.925070374675057,0.0,0.0,0.0,0.0,0.0,1210.3068882505518,0.04812009125,59.74122682664071,50.17017603176946,1952.375615448778,50.13445591326992,59.84398066239971,0.04812009125,7381352.2156156 
 01/09  09:00:00,-12.2,17.1569727241897,0.0,0.0,0.0,0.0,0.0,1099.2732618676062,0.049994899999999998,59.7709488271053,49.84431356118977,2000.0,50.12622005653776,59.694169673898787,0.049994899999999998,7502400.000000002 
 01/09  10:00:00,-11.6,16.86494010344787,0.0,0.0,0.0,0.0,0.0,1323.878434556064,0.0499949,59.67986449475193,49.497898712654137,2000.0,49.90926434084558,59.477371025824258,0.0499949,7430400.0 
 01/09  11:00:00,-10.8,17.317662254011887,0.0,0.0,0.0,0.0,0.0,1302.809421863121,0.0499949,59.55525494584445,49.58883948581115,2000.0,49.773542248312939,59.34171105324715,0.0499949,7394400.0 
 01/09  12:00:00,-10.5,17.51893069566778,0.0,0.0,0.0,0.0,0.0,1272.3447917371302,0.0499949,59.44834353937815,49.601887665824289,2000.0,49.72509278949427,59.293283769915429,0.0499949,7437600.0 
 01/09  13:00:00,-10.1,17.610224304231584,0.0,0.0,0.0,0.0,0.0,1266.81770151912,0.0499949,59.37169551053642,49.573790291745329,2000.0,49.69202258010565,59.2602286969411,0.0499949,7495200.0 
 01/09  14:00:00,-10.5,17.469405363913319,0.0,0.0,0.0,0.0,0.0,1261.2805370459869,0.0499949,59.31560290899741,49.56603859144775,2000.0,49.66624184286031,59.234459759712319,0.0499949,7452000.0 
 01/09  15:00:00,-11.8,17.238883600368106,0.0,0.0,0.0,0.0,0.0,1261.7314786562592,0.0499949,59.27235048810054,49.51229507926977,2000.0,49.63718841025906,59.20541962509715,0.0499949,7444800.0 
 01/09  16:00:00,-11.2,17.265827336712606,0.0,0.0,0.0,0.0,0.0,1268.7467065332532,0.0499949,59.231548887595717,49.43548757645698,2000.0,49.591274321920128,59.159526552075259,0.0499949,7408800.0 
 01/09  17:00:00,-10.9,17.392223272005013,0.0,0.0,0.0,0.0,0.0,1266.511272233481,0.0499949,59.188494138393348,49.41300544023205,2000.0,49.54489468752035,59.113168146171137,0.0499949,7430400.0 
 01/09  18:00:00,-10.5,17.890252417891874,0.0,0.0,0.0,0.0,0.0,1266.282867771478,0.0499949,59.147491267627419,49.44770115564795,2000.0,49.52029965220888,59.08858436833032,0.0499949,7560000.0 
 01/09  19:00:00,-10.4,20.02210285503269,0.0,0.0,0.0,0.0,0.0,1001.2701321716198,0.03499643,59.20820714704747,49.254493447957759,1487.883130128497,49.50527640109546,59.77431112045063,0.03499643,5709179.268462589 
 01/09  20:00:00,-10.1,20.11515686550607,0.0,0.0,0.0,0.0,0.0,980.6239099974678,0.03773052609375001,59.46430647274955,49.647667730112029,1654.3883761539716,49.512437288446218,60.0,0.03773052609375001,6243798.154154298 
 01/09  21:00:00,-10.0,17.36163177455102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.576101489050667,59.576101489050667,0.0,49.55443430664072,49.55443430664072,0.0,259200.0 
 01/09  22:00:00,-10.4,16.57660029711632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.576101489050689,59.576101489050689,0.0,49.55443430664075,49.55443430664075,0.0,324000.0 
 01/09  23:00:00,-10.2,16.086576817211918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.57610148905068,59.57610148905068,0.0,49.554434306640747,49.554434306640747,0.0,216000.0 
 01/09  24:00:00,-9.5,15.679141486486098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.57610148905068,59.57610148905068,0.0,49.554434306640747,49.554434306640747,0.0,57600.0 
 01/10  01:00:00,-8.6,15.296835861373218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.57610148905068,59.57610148905068,0.0,49.554434306640747,49.554434306640747,0.0,43200.0 
 01/10  02:00:00,-8.0,15.154571822238213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.57610148905068,59.57610148905068,0.0,49.554434306640747,49.554434306640747,0.0,43200.0 
 01/10  03:00:00,-7.2,15.064519949531349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.57610148905068,59.57610148905068,0.0,49.554434306640747,49.554434306640747,0.0,43200.0 
 01/10  04:00:00,-6.5,14.976948758852166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.57610148905068,59.57610148905068,0.0,49.554434306640747,49.554434306640747,0.0,43200.0 
 01/10  05:00:00,-6.2,14.880927136836313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.57610148905068,59.57610148905068,0.0,49.554434306640747,49.554434306640747,0.0,43200.0 
 01/10  06:00:00,-5.7,19.285988120824105,0.0,0.0,0.0,0.0,0.0,1325.8067188413695,0.044009933605769237,59.541069781899349,49.64557346316034,1846.8151254442064,49.5767802254013,59.657111485522118,0.044009933605769237,6691734.4515991429 
 01/10  07:00:00,-5.2,19.59311989787202,0.0,0.0,0.0,0.0,0.0,1203.222793768993,0.049994899999999998,59.53258624396943,50.0545801730294,2000.0,49.745725432208669,59.3139069690575,0.049994899999999998,7401600.0 
 01/10  08:00:00,-4.6,19.995136594866339,0.0,0.0,0.0,0.0,0.0,1149.6202754859644,0.0454641121875,59.50676392586439,49.880403663542768,1864.1258322795063,49.893203306889777,59.7264538089082,0.0454641121875,7063652.996206222 
 01/10  09:00:00,-4.1,18.2367847769153,0.0,0.0,0.0,0.0,0.0,1155.8007629558806,0.04999490000000001,59.567234591801838,49.92272968777732,2000.0,49.93425120587833,59.502346454471027,0.04999490000000001,7502400.0 
 01/10  10:00:00,-4.2,18.098830314920389,0.0,0.0,0.0,0.0,0.0,1275.7938291117573,0.0499949,59.52571795285331,49.685818969488348,2000.0,49.87745277212473,59.445574017173608,0.0499949,7430400.0 
 01/10  11:00:00,-4.0,18.36120014721445,0.0,0.0,0.0,0.0,0.0,1266.8163810209558,0.0499949,59.481690854480948,49.7666796429391,2000.0,49.84053380584388,59.408671948660778,0.0499949,7394400.0 
 01/10  12:00:00,-3.6,18.586259934551469,0.0,0.0,0.0,0.0,0.0,1255.833296239678,0.0499949,59.45212247058404,49.83388256748053,2000.0,49.853368182327127,59.421500450858037,0.0499949,7437600.0 
 01/10  13:00:00,-3.0,18.76095407282617,0.0,0.0,0.0,0.0,0.0,1248.171745254356,0.0499949,59.446765604834968,49.89650000709908,2000.0,49.88959604517418,59.45771173227413,0.0499949,7495200.0 
 01/10  14:00:00,-2.5,18.799326307720805,0.0,0.0,0.0,0.0,0.0,1243.245201138867,0.0499949,59.462495978041307,49.95447918031957,2000.0,49.93658070027454,59.504674882663689,0.0499949,7452000.0 
 01/10  15:00:00,-2.2,18.8728409282569,0.0,0.0,0.0,0.0,0.0,1241.8536741498372,0.0499949,59.491923903981518,49.98741670170579,2000.0,49.982315680456988,59.550388930199968,0.0499949,7444800.0 
 01/10  16:00:00,-1.7,18.975178797345277,0.0,0.0,0.0,0.0,0.0,1240.3091021279963,0.0499949,59.52806810498719,50.032711734156077,2000.0,50.02534202238843,59.59338398048196,0.0499949,7408800.0 
 01/10  17:00:00,-1.8,19.05723806407753,0.0,0.0,0.0,0.0,0.0,1238.5502591597733,0.0499949,59.56810304982155,50.0871179029385,2000.0,50.07165222501099,59.63965179181781,0.0499949,7430400.0 
 01/10  18:00:00,-1.7,19.484813148698369,0.0,0.0,0.0,0.0,0.0,1243.83425417054,0.0499949,59.6124970687556,50.170784326402188,2000.0,50.124468453142288,59.69241967368092,0.0499949,7560000.0 
 01/10  19:00:00,-1.2,20.18724286093112,0.0,0.0,0.0,0.0,0.0,880.2126176602519,0.03205402182291667,59.70089236169319,49.505191084730387,1331.6989439688514,50.059153052348907,60.0,0.03205402182291667,5146916.198287865 
 01/10  20:00:00,-1.3,20.23102956132584,0.0,0.0,0.0,0.0,0.0,811.5569861283531,0.029996940000000004,59.79231192656079,49.53887200101174,1265.0114815825536,49.91353138089551,60.0,0.029996940000000004,4842041.333697193 
 01/10  21:00:00,-1.1,17.985717497317194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.827457578632238,59.827457578632238,0.0,49.861190693337679,49.861190693337679,0.0,259200.0 
 01/10  22:00:00,-1.0,17.35801941289068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.82745757863224,59.82745757863224,0.0,49.861190693337679,49.861190693337679,0.0,324000.0 
 01/10  23:00:00,-0.9,16.95160046478554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.82745757863224,59.82745757863224,0.0,49.861190693337679,49.861190693337679,0.0,216000.0 
 01/10  24:00:00,-0.3,16.55145398683446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.82745757863224,59.82745757863224,0.0,49.861190693337679,49.861190693337679,0.0,57600.0 
 01/11  01:00:00,-8.6,15.776520309418057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.827457578632238,59.827457578632238,0.0,49.86119069333767,49.86119069333767,0.0,43200.0 
 01/11  02:00:00,-8.0,15.603687364514482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.82745757863224,59.82745757863224,0.0,49.861190693337679,49.861190693337679,0.0,43200.0 
 01/11  03:00:00,-7.2,15.511728619864329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.82745757863224,59.82745757863224,0.0,49.861190693337679,49.861190693337679,0.0,43200.0 
 01/11  04:00:00,-6.5,15.407886466021694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.82745757863224,59.82745757863224,0.0,49.861190693337679,49.861190693337679,0.0,43200.0 
