Date/Time,DistrictHeating:Facility [J](Hourly) 
 01/18  18:00:00,7560000.0 
 01/18  19:00:00,5899693.978166039 
 01/18  20:00:00,6473290.847420154 
 01/18  21:00:00,259200.0 
 01/18  22:00:00,324000.0 
 01/18  23:00:00,216000.0 
 01/18  24:00:00,57600.0 
 01/19  01:00:00,43200.0 
 01/19  02:00:00,43200.0 
 01/19  03:00:00,43200.0 
 01/19  04:00:00,43200.0 
 01/19  05:00:00,43200.0 
 01/19  06:00:00,6949372.464043826 
 01/19  07:00:00,7401600.0 
 01/19  08:00:00,7520780.665247969 
 01/19  09:00:00,7502400.0 
 01/19  10:00:00,7430400.0 
 01/19  11:00:00,7394400.0 
 01/19  12:00:00,7437600.0 
 01/19  13:00:00,7495200.0 
 01/19  14:00:00,7452000.0 
 01/19  15:00:00,7444800.0 
 01/19  16:00:00,7408800.0 
 01/19  17:00:00,7430400.0 
 01/19  18:00:00,7560000.0 
 01/19  19:00:00,5684195.284562368 
 01/19  20:00:00,5985918.702309001 
 01/19  21:00:00,259200.0 
 01/19  22:00:00,324000.0 
 01/19  23:00:00,216000.0 
 01/19  24:00:00,57600.0 
 01/20  01:00:00,43200.0 
 01/20  02:00:00,43200.0 
 01/20  03:00:00,43200.0 
 01/20  04:00:00,43200.0 
 01/20  05:00:00,43200.0 
 01/20  06:00:00,7243200.0 
 01/20  07:00:00,7401600.0 
 01/20  08:00:00,7252867.587882111 
 01/20  09:00:00,7502400.000000002 
 01/20  10:00:00,7430400.0 
 01/20  11:00:00,7394400.0 
 01/20  12:00:00,7437600.0 
 01/20  13:00:00,7495200.0 
 01/20  14:00:00,7452000.0 
 01/20  15:00:00,7444800.0 
 01/20  16:00:00,7408800.0 
 01/20  17:00:00,7430400.0 
 01/20  18:00:00,7560000.0 
 01/20  19:00:00,5711787.666881949 
 01/20  20:00:00,6276100.146364765 
 01/20  21:00:00,259200.0 
 01/20  22:00:00,324000.0 
 01/20  23:00:00,216000.0 
 01/20  24:00:00,57600.0 
 01/21  01:00:00,43200.0 
 01/21  02:00:00,43200.0 
 01/21  03:00:00,43200.0 
 01/21  04:00:00,43200.0 
 01/21  05:00:00,43200.0 
 01/21  06:00:00,7243200.0 
 01/21  07:00:00,7308000.0 
 01/21  08:00:00,7311552.453887913 
 01/21  09:00:00,7509600.0 
 01/21  10:00:00,7480800.0 
 01/21  11:00:00,7444800.0 
 01/21  12:00:00,7459200.0 
 01/21  13:00:00,7524000.0 
 01/21  14:00:00,7480800.0 
 01/21  15:00:00,7480800.0 
 01/21  16:00:00,7437600.0 
 01/21  17:00:00,5681846.740383951 
 01/21  18:00:00,6907946.553635642 
 01/21  19:00:00,6830130.549266987 
 01/21  20:00:00,5987168.823667287 
 01/21  21:00:00,223200.0 
 01/21  22:00:00,223200.0 
 01/21  23:00:00,201600.00000000004 
 01/21  24:00:00,72000.0 
 01/22  01:00:00,43200.0 
 01/22  02:00:00,43200.0 
 01/22  03:00:00,43200.0 
 01/22  04:00:00,43200.0 
 01/22  05:00:00,43200.0 
 01/22  06:00:00,6916221.119542711 
 01/22  07:00:00,7264800.0 
 01/22  08:00:00,7380000.0 
 01/22  09:00:00,7466400.0 
 01/22  10:00:00,7452000.0 
 01/22  11:00:00,7430400.0 
 01/22  12:00:00,7452000.0 
 01/22  13:00:00,7502400.0 
 01/22  14:00:00,7466400.0 
 01/22  15:00:00,7459200.0 
 01/22  16:00:00,7423200.0 
 01/22  17:00:00,5667098.88503137 
 01/22  18:00:00,6699601.186013851 
 01/22  19:00:00,6603073.667811514 
 01/22  20:00:00,5875808.748461246 
 01/22  21:00:00,216000.0 
 01/22  22:00:00,244800.0 
 01/22  23:00:00,187200.0 
 01/22  24:00:00,86400.0 
 01/23  01:00:00,43200.0 
 01/23  02:00:00,43200.0 
 01/23  03:00:00,43200.0 
 01/23  04:00:00,43200.0 
 01/23  05:00:00,43200.0 
 01/23  06:00:00,6363629.918499569 
 01/23  07:00:00,7401600.0 
 01/23  08:00:00,6828851.687580433 
 01/23  09:00:00,7502400.0 
 01/23  10:00:00,7430400.0 
 01/23  11:00:00,7394400.0 
 01/23  12:00:00,7437600.0 
 01/23  13:00:00,7495200.0 
 01/23  14:00:00,7452000.0 
 01/23  15:00:00,7444800.0 
 01/23  16:00:00,7408800.0 
 01/23  17:00:00,7430400.0 
 01/23  18:00:00,7560000.0 
 01/23  19:00:00,4774212.401454721 
 01/23  20:00:00,4789328.990615048 
 01/23  21:00:00,259200.0 
 01/23  22:00:00,324000.0 
 01/23  23:00:00,216000.0 
 01/23  24:00:00,57600.0 
 01/24  01:00:00,43200.0 
 01/24  02:00:00,43200.0 
 01/24  03:00:00,43200.0 
 01/24  04:00:00,43200.0 
 01/24  05:00:00,43200.0 
 01/24  06:00:00,5654367.911326607 
 01/24  07:00:00,6324668.731933829 
 01/24  08:00:00,6063360.510589388 
 01/24  09:00:00,7502400.0 
 01/24  10:00:00,7430400.0 
 01/24  11:00:00,7394400.0 
 01/24  12:00:00,7437600.0 
 01/24  13:00:00,7495200.0 
 01/24  14:00:00,7452000.0 
 01/24  15:00:00,7444800.0 
 01/24  16:00:00,7408800.0 
 01/24  17:00:00,7399310.318447003 
 01/24  18:00:00,7417559.157944173 
 01/24  19:00:00,4684536.683452601 
 01/24  20:00:00,4705373.303670698 
 01/24  21:00:00,259200.0 
 01/24  22:00:00,324000.0 
 01/24  23:00:00,216000.0 
 01/24  24:00:00,57600.0 
 01/25  01:00:00,43200.0 
 01/25  02:00:00,43200.0 
 01/25  03:00:00,43200.0 
 01/25  04:00:00,43200.0 
 01/25  05:00:00,43200.0 
 01/25  06:00:00,5373991.663741861 
 01/25  07:00:00,5919104.320919821 
 01/25  08:00:00,5606782.77806412 
 01/25  09:00:00,7502400.0 
 01/25  10:00:00,7430400.0 
 01/25  11:00:00,7394400.0 
 01/25  12:00:00,7437600.0 
