Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Air Temperature [C](Hourly),ERV_1_HX:Heat Exchanger Total Heating Rate [W](Hourly),ERV_1_FANSUPPLY:Fan Electric Power [W](Hourly),ERV_1_FANSUPPLY:Fan Air Mass Flow Rate [kg/s](Hourly),ERV_1_FANEXHAUST:Fan Electric Power [W](Hourly),ERV_1_FANEXHAUST:Fan Air Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/01  11:00:00,5.2,20.44420066006502,0.0,0.0,0.0,0.0,0.0,759.3505891664754,0.029996940000000004,55.0,45.3696552932982,1197.959584460361,45.446122682659119,55.0,0.029996940000000004,4543054.504057299 
 01/01  12:00:00,5.2,20.50258365878322,0.0,0.0,0.0,0.0,0.0,755.2323183821394,0.029996940000000004,55.0,45.38097722182873,1198.157504338484,45.44454352493616,55.0,0.029996940000000004,4565367.015618542 
 01/01  13:00:00,5.2,20.59868165356966,0.0,0.0,0.0,0.0,0.0,749.481656404435,0.029996940000000004,55.0,45.44642830223521,1196.7796811985236,45.45553685765483,55.0,0.029996940000000004,4610806.852314685 
 01/01  14:00:00,4.6,20.418578466049948,0.0,0.0,0.0,0.0,0.0,744.1454440253183,0.029996940000000004,55.0,45.51107910637444,1193.3544414376286,45.48286600474667,54.99999999999999,0.029996940000000004,4562475.989175463 
 01/01  15:00:00,4.1,20.23840867390968,0.0,0.0,0.0,0.0,0.0,743.9573515649952,0.029996940000000004,55.0,45.48442701490727,1190.3483577503616,45.506850749524549,54.99999999999999,0.029996940000000004,4544454.087901302 
 01/01  16:00:00,3.5,20.092060089543574,0.0,0.0,0.0,0.0,0.0,745.132853005404,0.029996940000000004,55.0,45.44677557973966,1189.4818141159494,45.51376466122241,55.0,0.029996940000000004,4505334.530817418 
 01/01  17:00:00,3.2,20.624836315209426,0.0,0.0,0.0,0.0,0.0,450.98074219770128,0.017998164000000005,55.0,49.27272793808415,713.8398919808881,45.51228848346871,51.20523290593434,0.017998164000000005,2800223.611131197 
 01/01  18:00:00,2.9,20.735816520437234,0.0,0.0,0.0,0.0,0.0,373.5554143867814,0.014998470000000002,55.0,50.264611748797239,594.1653258792246,45.524534528100577,50.26305979843656,0.014998470000000002,2462995.1731652088 
 01/01  19:00:00,2.6,20.85303262594123,0.0,0.0,0.0,0.0,0.0,398.2442464265899,0.014998470000000002,55.0,50.260128753131009,593.450905254598,45.53548347439808,50.26830859029413,0.014998470000000002,2438823.2589165528 
 01/01  20:00:00,2.5,20.902992196865278,0.0,0.0,0.0,0.0,0.0,398.84869315862206,0.014998470000000002,55.0,50.24034212255943,593.1083044526993,45.53995229019056,50.270043896044708,0.014998470000000002,2387189.8960297175 
 01/01  21:00:00,2.4,19.44412185972225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,45.53838671317354,45.53838671317354,0.0,216000.0 
 01/01  22:00:00,2.3,19.166435241987089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,45.53838671317354,45.53838671317354,0.0,244800.0 
 01/01  23:00:00,2.3,18.767147163356719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,45.53838671317354,45.53838671317354,0.0,187200.0 
 01/01  24:00:00,2.2,18.518023344724825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,45.53838671317354,45.53838671317354,0.0,86400.0 
 01/02  01:00:00,2.2,18.026525598834256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,45.53838671317354,45.53838671317354,0.0,43200.0 
 01/02  02:00:00,2.2,17.855223896706197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,45.53838671317354,45.53838671317354,0.0,43200.0 
